Video_filename,TimestampID,Number_turns,Turn_timestamps,Number_contractions,Contraction_timestamps,Notes
Video_Romantic_Hard_Doll/,,4,"87,93,150,253",0,,
Video_Rotten_Uttermost_Macrame/,,3,"33,175,220",1,33,
Video_Ruthless_Magical_Fallacy/,,1,218,0,,
Video_Sable_Alive_Sage/,,0,,0,,
Video_Sable_Bored_Diet/,,2,"35,245",0,,
Video_Sable_Fascinated_Koala/,,1,28,0,,
Video_Sad_Vulgar_Jade/,,2,"135,176",0,,
Video_Salty_Great_Store/,,0,,0,,
Video_Sassy_Many_Pate/,,2,"18,45",0,,
Video_Scandalous_Chivalrous_Screw/,,1,114,1,149,
Video_Scandalous_Tacit_Zinc/,,3,"22,190,244",0,,
Video_Scary_Blue_Rip/,,0,,1,85,
Video_Scary_Broad_Middleman/,,0,,0,,Quiescent
Video_Scattered_Noisy_Port/,,0,,0,,
Video_Secretive_Aromatic_Creation/,,0,,0,,
Video_Sedate_Repulsive_Briefly/,,0,,0,,
Video_Selfish_Troubled_Chowder/,,3,"28,88,176",0,,
Video_Shaggy_Tasty_Dhow/,,1,150,0,,
Video_Shocking_Equable_Alfalfa/,,3,"30,43,133",0,,
Video_Shrill_Draconian_Rainbow/,,1,136,1,136,
Video_Shy_Gaping_Shofar/,,1,245,0,,
Video_Silky_Jazzy_Disco/,,0,,0,,
Video_Silly_Abaft_Spell/,,2,"13,50",0,,
Video_Sincere_Holistic_Generator/,,3,"44,62,111",0,,
Video_Skillful_Dazzling_Coffin/,,5,"11,92,129,154,262",1,11,
Video_Skinny_Juvenile_Proctor/,,1,13,0,,
Video_Slimy_Warm_Nibble/,,1,85,0,,
Video_Smiling_Resolute_Authority/,,2,"54,72",1,72,
Video_Smooth_Lacking_Flick/,,1,186,1,211,Scrunch-walking entire video; not counted because feels like outlier and would be disingenuous
Video_Smooth_Shivering_Gun/,,0,,0,,
Video_Soft_Many_Titanium/,,0,,0,,
Video_Soft_Perfect_Wire/,,2,"58,202",0,,
Video_Somber_Upset_View/,,1,82,0,,
Video_Sore_Glamorous_Balance/,,1,47,0,,
Video_Sour_Vulgar_Torso/,,0,,0,,
Video_Spurious_Subsequent_Certainty/,,4,"37,92,115,164",0,,
Video_Stale_Tasteful_Chuck/,,7,"24,47,76,104,115,135,174",0,,
Video_Statuesque_Pleasant_Proportion/,,4,"16,99,154,226",1,99,
Video_Steadfast_Hissing_Amusement/,,1,190,0,,
Video_Steady_Uncovered_Rutabaga/,,3,"33,60,172",0,,
Video_Sticky_Weak_Leading/,,0,,0,,quiescent
Video_Subdued_Tricky_Sick/,,3,"41,224,258",0,,
Video_Subsequent_Amuck_Canteen/,,3,"43,84,265",2,"16,45",
Video_Succinct_Telling_Diet/,,0,,0,,
Video_Super_Deafening_Cytoplasm/,,2,"209,255",1,255,
Video_Swanky_Poor_Cassava/,,2,"109,188",0,,
Video_Taboo_Ill_Catalogue/,,0,,0,,
Video_Tacit_Muddy_Daybed/,,4,"134,153,183,214",1,152,
Video_Tacit_Slow_Booklet/,,1,120,0,,
Video_Tacit_Small_Salt/,,2,"93,147",0,,
Video_Talented_Drunk_Kohlrabi/,,1,41,0,,
Video_Tall_Honorable_Carpeting/,,0,,0,,
Video_Tall_Ubiquitous_Squeegee/,,1,153,0,,
Video_Tan_Mindless_Artifact/,,2,"62,104",0,,Scrunch gait not counted
Video_Tart_Damaging_Concept/,,2,"62,136",0,,
Video_Tasteful_Fantastic_Hockey/,,4,"17,69,126,206",1,18,
Video_Tasteful_Numberless_Thermostat/,,2,"93,128",0,,
Video_Tasteful_Quaint_Nest/,,4,"49,186,223,249",0,,
Video_Tasty_Gusty_Expose/,,2,"85,123",0,,
Video_Telling_Trite_Monster/,,1,194,0,,
