Run,Troupe,Day,Block,Trial,CRturn_W1,CRturn_W2,CRturn_W3,CRturn_W4,CRturn_W5,CRturn_W6,CRcon_W1,CRcon_W2,CRcon_W3,CRcon_W4,CRcon_W5,CRcon_W6,UCRturn_W1,UCRturn_W2,UCRturn_W3,UCRturn_W4,UCRturn_W5,UCRturn_W6,UCRcon_W1,UCRcon_W2,UCRcon_W3,UCRcon_W4,UCRcon_W5,UCRcon_W6,Notes
2025_09_16_11_30_40_trial_1_TC,TC-MI-1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-MI-1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-MI-1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_16_15_21_23_trial_1_TC,TC-MI-1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-MI-1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-MI-1,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_17_10_54_13_trial_1_TC,TC-MI-1,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-MI-1,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-MI-1,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_17_14_52_34_trial_1_TC,TC-MI-1,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-MI-1,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-MI-1,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_18_10_38_29_trial_1_TC,TC-MI-1,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-MI-1,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-MI-1,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_18_14_47_35_trial_1_TC,TC-MI-1,3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-MI-1,3,6,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-MI-1,3,6,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_19_10_41_07_trial_1_TC,TC-MI-1,4,7,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-MI-1,4,7,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-MI-1,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_19_13_53_26_trial_1_TC,TC-MI-1,4,8,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-MI-1,4,8,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-MI-1,4,8,3,,,,,,,,,,,,,,,,,,,,,,,,,
