Run,group_day,Trough,BlockNum,BlockType,Trial,W1,W2,W3,W4,W5,W6,,,,,
,,,5,CC,17,1,1,1,1,-1,1,,,,,
,,,5,CC,18,0,1,1,1,1,1,,,,,
,,,5,CC,19,1,0,1,0,1,0,,,,,
,,,5,CC,20,1,1,1,0,1,1,,,,,
,,,5,CC,21,1,1,0,1,1,0,,,,,
,,,5,CC,22,0,0,0,0,1,0,,,,,
,,,5,CC,23,1,0,1,1,0,1,,,,,
,,,5,CC,24,1,0,1,0,0,1,,,,,
,,,5,CC,25,0,1,1,1,0,0,,,,,
2025_02_07_08_40_53_trial_1_CC,R1_2,Milled trough + attached electrodes,6,CC,1,1,0,0,0,1,1,,,,,
,,20 trials ,6,CC,2,0,0,1,1,0,0,,,,,
,,20s ITI,6,CC,3,1,0,1,1,0,0,,,,,
,,All CRs are turns or contractions,6,CC,4,0,0,0,0,0,0,,,,,
,,CC High,6,CC,5,-1,0,0,0,0,0,,,,,
,,,6,CC,6,1,0,1,1,1,0,,,,,
,,,6,CC,7,1,0,0,0,0,0,,,,,
,,,6,CC,8,0,0,1,1,1,1,,,,,
,,,6,CC,9,0,0,0,0,0,1,,,,,
,,,6,CC,10,1,0,1,1,0,1,,,,,
,,,6,CC,11,1,0,1,1,0,0,,,,,
,,,6,CC,12,0,0,1,0,0,0,,,,,
,,,6,CC,13,0,0,1,0,0,0,,,,,
,,,6,CC,14,0,0,0,0,0,0,,,,,
,,,6,CC,15,0,0,1,1,0,0,,,,,
,,,6,CC,16,1,-1,1,1,0,0,,,,,
,,,6,CC,17,1,0,1,1,0,0,,,,,
,,,6,CC,18,0,0,1,1,0,-1,,,,,
,,,6,CC,19,0,0,0,1,0,0,,,,,
,,,6,CC,20,0,0,1,0,0,0,,,,,
,,,6,CC,21,1,0,1,1,0,0,,,,,
,,,6,CC,22,1,0,1,0,0,0,,,,,
,,,6,CC,23,1,0,0,0,0,0,,,,,
,,,6,CC,24,0,0,0,1,0,-1,,,,,
,,,6,CC,25,0,0,0,0,0,0,,,,,
2025_02_07_09_01_04_trial_1_CC,R1_2,Milled trough + attached electrodes,7,CC,1,0,0,0,0,0,0,,,,,
,,20 trials ,7,CC,2,0,0,0,0,0,0,,,,,
,,20s ITI,7,CC,3,0,0,0,0,0,0,,,,,
,,All CRs are turns or contractions,7,CC,4,0,0,0,0,0,0,,,,,
,,CC High,7,CC,5,0,0,0,0,0,0,,,,,
